 Source Port, Destination Port, Protocol, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,SimillarHTTP, Inbound, Label
9412,44824,17,1,2,0,858,0,429,429,429,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,429,429,429,0,0,0,0,0,0,0,0,0,0,0,643.5,429,0,-2,0,0,0,0,0,0,2,858,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
61850,35703,17,1,2,0,1714,0,857,857,857,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,857,857,857,0,0,0,0,0,0,0,0,0,0,0,1285.5,857,0,-2,0,0,0,0,0,0,2,1714,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9413,20325,17,1,2,0,914,0,457,457,457,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,457,457,457,0,0,0,0,0,0,0,0,0,0,0,685.5,457,0,-2,0,0,0,0,0,0,2,914,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9414,64291,17,1,2,0,2240,0,1120,1120,1120,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,1120,1120,1120,0,0,0,0,0,0,0,0,0,0,0,1680,1120,0,-2,0,0,0,0,0,0,2,2240,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9415,56567,17,1,2,0,958,0,479,479,479,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,479,479,479,0,0,0,0,0,0,0,0,0,0,0,718.5,479,0,-2,0,0,0,0,0,0,2,958,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
61850,819,17,1,2,0,830,0,415,415,415,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,415,415,415,0,0,0,0,0,0,0,0,0,0,0,622.5,415,0,-2,0,0,0,0,0,0,2,830,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9416,37136,17,1,2,0,834,0,417,417,417,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,417,417,417,0,0,0,0,0,0,0,0,0,0,0,625.5,417,0,-2,0,0,0,0,0,0,2,834,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9417,47250,17,1,2,0,890,0,445,445,445,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,445,445,445,0,0,0,0,0,0,0,0,0,0,0,667.5,445,0,-2,0,0,0,0,0,0,2,890,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9418,12944,17,1,2,0,878,0,439,439,439,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,439,439,439,0,0,0,0,0,0,0,0,0,0,0,658.5,439,0,-2,0,0,0,0,0,0,2,878,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9419,17261,17,1,2,0,842,0,421,421,421,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,421,421,421,0,0,0,0,0,0,0,0,0,0,0,631.5,421,0,-2,0,0,0,0,0,0,2,842,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9420,27072,17,1,2,0,972,0,486,486,486,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,486,486,486,0,0,0,0,0,0,0,0,0,0,0,729,486,0,-2,0,0,0,0,0,0,2,972,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9421,46932,17,1,2,0,2944,0,1472,1472,1472,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,1472,1472,1472,0,0,0,0,0,0,0,0,0,0,0,2208,1472,0,-2,0,0,0,0,0,0,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
0,0,0,117614230,922,40,0,0,0,0,0,0,0,0,0,0,122387.3361,1118573.948,16612711,0,117614060,127702.5624,1142349.11,16612810,0,111397151,2856337.205,4846442.932,16612835,2,0,0,0,0,0,0,7.839187486,0.340094902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,922,0,40,0,-1,-1,0,0,2362533.444,2630749.776,6217082,102,10705695.22,4342861.708,16612711,6095401,0,1,MSSQL
9422,46661,17,1,2,0,878,0,439,439,439,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,439,439,439,0,0,0,0,0,0,0,0,0,0,0,658.5,439,0,-2,0,0,0,0,0,0,2,878,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9423,38335,17,1,2,0,842,0,421,421,421,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,421,421,421,0,0,0,0,0,0,0,0,0,0,0,631.5,421,0,-2,0,0,0,0,0,0,2,842,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9424,13386,17,1,2,0,1194,0,597,597,597,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,597,597,597,0,0,0,0,0,0,0,0,0,0,0,895.5,597,0,-2,0,0,0,0,0,0,2,1194,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9425,13027,17,1,2,0,2048,0,1024,1024,1024,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,1024,1024,1024,0,0,0,0,0,0,0,0,0,0,0,1536,1024,0,-2,0,0,0,0,0,0,2,2048,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9426,43837,17,1,2,0,842,0,421,421,421,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,421,421,421,0,0,0,0,0,0,0,0,0,0,0,631.5,421,0,-2,0,0,0,0,0,0,2,842,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9427,4458,17,1,2,0,1184,0,592,592,592,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,592,592,592,0,0,0,0,0,0,0,0,0,0,0,888,592,0,-2,0,0,0,0,0,0,2,1184,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9428,65021,17,1,2,0,842,0,421,421,421,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,421,421,421,0,0,0,0,0,0,0,0,0,0,0,631.5,421,0,-2,0,0,0,0,0,0,2,842,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9429,16690,17,1,2,0,806,0,403,403,403,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,403,403,403,0,0,0,0,0,0,0,0,0,0,0,604.5,403,0,-2,0,0,0,0,0,0,2,806,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9430,9390,17,0,2,0,800,0,400,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,400,400,400,0,0,0,0,0,0,0,0,0,0,0,600,400,0,-2,0,0,0,0,0,0,2,800,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9431,38135,17,1,2,0,896,0,448,448,448,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,448,448,448,0,0,0,0,0,0,0,0,0,0,0,672,448,0,-2,0,0,0,0,0,0,2,896,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9432,22290,17,1,2,0,1356,0,678,678,678,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,678,678,678,0,0,0,0,0,0,0,0,0,0,0,1017,678,0,-2,0,0,0,0,0,0,2,1356,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9433,44499,17,0,2,0,1002,0,501,501,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,501,501,501,0,0,0,0,0,0,0,0,0,0,0,751.5,501,0,-2,0,0,0,0,0,0,2,1002,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
61850,50109,17,1,2,0,1076,0,538,538,538,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,538,538,538,0,0,0,0,0,0,0,0,0,0,0,807,538,0,-2,0,0,0,0,0,0,2,1076,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
61850,61004,17,2,2,0,1180,0,590,590,590,0,0,0,0,0,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,-2,0,1000000,0,590,590,590,0,0,0,0,0,0,0,0,0,0,0,885,590,0,-2,0,0,0,0,0,0,2,1180,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9434,41966,17,1,2,0,934,0,467,467,467,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,467,467,467,0,0,0,0,0,0,0,0,0,0,0,700.5,467,0,-2,0,0,0,0,0,0,2,934,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9435,26749,17,1,2,0,850,0,425,425,425,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,425,425,425,0,0,0,0,0,0,0,0,0,0,0,637.5,425,0,-2,0,0,0,0,0,0,2,850,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9436,4340,17,1,2,0,876,0,438,438,438,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,438,438,438,0,0,0,0,0,0,0,0,0,0,0,657,438,0,-2,0,0,0,0,0,0,2,876,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9437,1014,17,1,2,0,806,0,403,403,403,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,403,403,403,0,0,0,0,0,0,0,0,0,0,0,604.5,403,0,-2,0,0,0,0,0,0,2,806,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9438,60855,17,48,2,0,810,0,405,405,405,0,0,0,0,0,48,0,48,48,48,48,0,48,48,0,0,0,0,0,0,0,0,0,-2,0,41666.66667,0,405,405,405,0,0,0,0,0,0,0,0,0,0,0,607.5,405,0,-2,0,0,0,0,0,0,2,810,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9439,15533,17,1,2,0,1184,0,592,592,592,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,592,592,592,0,0,0,0,0,0,0,0,0,0,0,888,592,0,-2,0,0,0,0,0,0,2,1184,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9440,49910,17,1,2,0,924,0,462,462,462,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,462,462,462,0,0,0,0,0,0,0,0,0,0,0,693,462,0,-2,0,0,0,0,0,0,2,924,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9441,33785,17,1,2,0,1234,0,617,617,617,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,617,617,617,0,0,0,0,0,0,0,0,0,0,0,925.5,617,0,-2,0,0,0,0,0,0,2,1234,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9442,44784,17,2,2,0,816,0,408,408,408,0,0,0,0,0,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,-2,0,1000000,0,408,408,408,0,0,0,0,0,0,0,0,0,0,0,612,408,0,-2,0,0,0,0,0,0,2,816,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9443,63060,17,1,2,0,1076,0,538,538,538,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,538,538,538,0,0,0,0,0,0,0,0,0,0,0,807,538,0,-2,0,0,0,0,0,0,2,1076,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9444,2591,17,1,2,0,958,0,479,479,479,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,479,479,479,0,0,0,0,0,0,0,0,0,0,0,718.5,479,0,-2,0,0,0,0,0,0,2,958,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9445,18381,17,2,2,0,1356,0,678,678,678,0,0,0,0,0,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,-2,0,1000000,0,678,678,678,0,0,0,0,0,0,0,0,0,0,0,1017,678,0,-2,0,0,0,0,0,0,2,1356,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9446,7582,17,1,2,0,834,0,417,417,417,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,417,417,417,0,0,0,0,0,0,0,0,0,0,0,625.5,417,0,-2,0,0,0,0,0,0,2,834,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9447,54630,17,49,2,0,840,0,420,420,420,0,0,0,0,0,49,0,49,49,49,49,0,49,49,0,0,0,0,0,0,0,0,0,-2,0,40816.32653,0,420,420,420,0,0,0,0,0,0,0,0,0,0,0,630,420,0,-2,0,0,0,0,0,0,2,840,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9448,52111,17,0,2,0,824,0,412,412,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,412,412,412,0,0,0,0,0,0,0,0,0,0,0,618,412,0,-2,0,0,0,0,0,0,2,824,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9449,12843,17,1,2,0,800,0,400,400,400,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,400,400,400,0,0,0,0,0,0,0,0,0,0,0,600,400,0,-2,0,0,0,0,0,0,2,800,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9450,56815,17,1,2,0,916,0,458,458,458,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,458,458,458,0,0,0,0,0,0,0,0,0,0,0,687,458,0,-2,0,0,0,0,0,0,2,916,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9451,30025,17,1,2,0,888,0,444,444,444,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,444,444,444,0,0,0,0,0,0,0,0,0,0,0,666,444,0,-2,0,0,0,0,0,0,2,888,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9452,18045,17,48,2,0,800,0,400,400,400,0,0,0,0,0,48,0,48,48,48,48,0,48,48,0,0,0,0,0,0,0,0,0,-2,0,41666.66667,0,400,400,400,0,0,0,0,0,0,0,0,0,0,0,600,400,0,-2,0,0,0,0,0,0,2,800,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
61850,5476,17,1,2,0,934,0,467,467,467,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,467,467,467,0,0,0,0,0,0,0,0,0,0,0,700.5,467,0,-2,0,0,0,0,0,0,2,934,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9453,57554,17,48,2,0,892,0,446,446,446,0,0,0,0,0,48,0,48,48,48,48,0,48,48,0,0,0,0,0,0,0,0,0,-2,0,41666.66667,0,446,446,446,0,0,0,0,0,0,0,0,0,0,0,669,446,0,-2,0,0,0,0,0,0,2,892,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9454,3449,17,1,2,0,1356,0,678,678,678,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,678,678,678,0,0,0,0,0,0,0,0,0,0,0,1017,678,0,-2,0,0,0,0,0,0,2,1356,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9455,33357,17,1,2,0,954,0,477,477,477,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,477,477,477,0,0,0,0,0,0,0,0,0,0,0,715.5,477,0,-2,0,0,0,0,0,0,2,954,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9456,51177,17,1,2,0,1240,0,620,620,620,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,620,620,620,0,0,0,0,0,0,0,0,0,0,0,930,620,0,-2,0,0,0,0,0,0,2,1240,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9457,55493,17,1,2,0,842,0,421,421,421,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,421,421,421,0,0,0,0,0,0,0,0,0,0,0,631.5,421,0,-2,0,0,0,0,0,0,2,842,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9458,55687,17,1,2,0,844,0,422,422,422,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,422,422,422,0,0,0,0,0,0,0,0,0,0,0,633,422,0,-2,0,0,0,0,0,0,2,844,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9459,61529,17,1,2,0,974,0,487,487,487,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,487,487,487,0,0,0,0,0,0,0,0,0,0,0,730.5,487,0,-2,0,0,0,0,0,0,2,974,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9460,38078,17,1,2,0,1124,0,562,562,562,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,562,562,562,0,0,0,0,0,0,0,0,0,0,0,843,562,0,-2,0,0,0,0,0,0,2,1124,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9461,10711,17,1,2,0,880,0,440,440,440,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,440,440,440,0,0,0,0,0,0,0,0,0,0,0,660,440,0,-2,0,0,0,0,0,0,2,880,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
61850,36056,17,1,2,0,840,0,420,420,420,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,420,420,420,0,0,0,0,0,0,0,0,0,0,0,630,420,0,-2,0,0,0,0,0,0,2,840,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
9462,18871,17,1,2,0,1100,0,550,550,550,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,550,550,550,0,0,0,0,0,0,0,0,0,0,0,825,550,0,-2,0,0,0,0,0,0,2,1100,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,MSSQL
